REGWLD,EVCHANGE,SCEN,Value
PHL,EVval,NATPES,189.51544189
POL,EVval,NATPES,492.53530884
R_S_Asia,EVval,NATPES,44.623439789
R_SE_Asia,EVval,NATPES,-43.771999359
Russia,EVval,NATPES,1462.5574951
S_o_Amer,EVval,NATPES,461.58416748
S_S_AFR,EVval,NATPES,-396.46508789
TUR,EVval,NATPES,117.86812592
USA,EVval,NATPES,435.01275635
VNM,EVval,NATPES,205.66477966
XAC,EVval,NATPES,457.83087158
ZAF,EVval,NATPES,-81.486213684
World,EVval,NATPES,18445.386719
ARG,EVpct,SRLand,0.016784813255
BGD,EVpct,SRLand,-0.054338656366
BRAZIL,EVpct,SRLand,4.73808264359832E-0003
C_C_Amer,EVpct,SRLand,0.091932035983
CAN,EVpct,SRLand,-2.11161887273192E-0003
CHIHKG,EVpct,SRLand,0.0393743366
COL,EVpct,SRLand,0.032964557409
E_Asia,EVpct,SRLand,-0.012183792889
EGY,EVpct,SRLand,0.32744827867
ETH,EVpct,SRLand,-6.27224566414952E-0003
EU27,EVpct,SRLand,8.55621509253979E-0003
IDN,EVpct,SRLand,0.093864507973
INDIA,EVpct,SRLand,0.062914855778
JAPAN,EVpct,SRLand,3.46125569194555E-0003
KOR,EVpct,SRLand,-8.10490571893752E-0004
MAR,EVpct,SRLand,-0.0102105923
MDG,EVpct,SRLand,0.067417100072
MEAS_NAfr,EVpct,SRLand,0.12198490649
MEX,EVpct,SRLand,0.011716850102
MYS,EVpct,SRLand,0.052736762911
NGA,EVpct,SRLand,-4.90263616666198E-0003
Oceania,EVpct,SRLand,0.015756538138
Oth_CEE_CIS,EVpct,SRLand,0.048740401864
Oth_Europe,EVpct,SRLand,0.072073318064
PAK,EVpct,SRLand,-0.018206857145
PHL,EVpct,SRLand,0.037903826684
POL,EVpct,SRLand,0.077137075365
R_S_Asia,EVpct,SRLand,0.27079337835
R_SE_Asia,EVpct,SRLand,-0.010872103274
Russia,EVpct,SRLand,0.030578240752
S_o_Amer,EVpct,SRLand,0.032271169126
S_S_AFR,EVpct,SRLand,-3.63382301293313E-0003
TUR,EVpct,SRLand,-0.014065256342
USA,EVpct,SRLand,7.91273359209299E-0003
VNM,EVpct,SRLand,0.011045139283
XAC,EVpct,SRLand,0.051456790417
ZAF,EVpct,SRLand,-0.011586158536
World,EVpct,SRLand,0.026801820844
ARG,EVval,SRLand,100.45529938
BGD,EVval,SRLand,-148.49087524
BRAZIL,EVval,SRLand,132.17106628
C_C_Amer,EVval,SRLand,586.83056641
CAN,EVval,SRLand,-48.039848328
CHIHKG,EVval,SRLand,6143.7495117
COL,EVval,SRLand,163.97679138
E_Asia,EVval,SRLand,-18.11255455
EGY,EVval,SRLand,1699.0881348
ETH,EVval,SRLand,-5.5839209557
EU27,EVval,SRLand,1434.3480225
IDN,EVval,SRLand,964.85974121
INDIA,EVval,SRLand,1565.3638916
JAPAN,EVval,SRLand,127.35139465
KOR,EVval,SRLand,-11.497412682
MAR,EVval,SRLand,-13.853567123
MDG,EVval,SRLand,12.153056145
MEAS_NAfr,EVval,SRLand,5183.9316406
MEX,EVval,SRLand,163.30091858
MYS,EVval,SRLand,225.15960693
NGA,EVval,SRLand,-73.669593811
Oceania,EVval,SRLand,420.86322021
Oth_CEE_CIS,EVval,SRLand,662.50091553
Oth_Europe,EVval,SRLand,974.45831299
PAK,EVval,SRLand,-42.967277527
PHL,EVval,SRLand,167.28450012
POL,EVval,SRLand,521.49987793
R_S_Asia,EVval,SRLand,452.31402588
R_SE_Asia,EVval,SRLand,-89.981468201
Russia,EVval,SRLand,1047.9771729
S_o_Amer,EVval,SRLand,493.0178833
S_S_AFR,EVval,SRLand,-38.644744873
TUR,EVval,SRLand,-141.19703674
USA,EVval,SRLand,1427.7150879
VNM,EVval,SRLand,32.495506287
XAC,EVval,SRLand,228.71369934
ZAF,EVval,SRLand,-47.940151215
World,EVval,SRLand,24251.601563
ARG,EVpct,SRnD20,-0.093875080347
BGD,EVpct,SRnD20,0.21571680903
BRAZIL,EVpct,SRnD20,-0.025802338496
C_C_Amer,EVpct,SRnD20,0.29485309124
CAN,EVpct,SRnD20,0.022555466741
CHIHKG,EVpct,SRnD20,0.14089801908
COL,EVpct,SRnD20,0.076807022095
E_Asia,EVpct,SRnD20,0.41839215159
EGY,EVpct,SRnD20,0.58683764935
ETH,EVpct,SRnD20,0.57406109571
EU27,EVpct,SRnD20,7.22351716831326E-0003
