ENDW,AREGWLD,ENDWRES,SCEN,Value
AEZ8,World,pe,BAU_aES,-1.7883443832
AEZ9,World,pe,BAU_aES,-2.2603311539
AEZ10,World,pe,BAU_aES,-1.964569211
AEZ11,World,pe,BAU_aES,-2.2262101173
AEZ12,World,pe,BAU_aES,-3.2275481224
AEZ13,World,pe,BAU_aES,-1.5300931931
AEZ14,World,pe,BAU_aES,-0.71186316013
AEZ15,World,pe,BAU_aES,-0.12977543473
AEZ16,World,pe,BAU_aES,0.41748178005
AEZ17,World,pe,BAU_aES,-1.8839601278
AEZ18,World,pe,BAU_aES,-2.1481678486
UnSkLab,World,pe,BAU_aES,-0.46160623431
SkLab,World,pe,BAU_aES,-0.41634094715
Capital,World,pe,BAU_aES,-0.43789449334
NatRes,World,pe,BAU_aES,5.2708516121
AEZ1,HighIncome,qe,BAU_aES,-2.01905728317797E-0003
AEZ2,HighIncome,qe,BAU_aES,0.030656892806
AEZ3,HighIncome,qe,BAU_aES,-3.63003066740930E-0003
AEZ4,HighIncome,qe,BAU_aES,-0.078691862524
AEZ5,HighIncome,qe,BAU_aES,-0.029265802354
AEZ6,HighIncome,qe,BAU_aES,-4.70190821215510E-0003
AEZ7,HighIncome,qe,BAU_aES,-3.20037687197328E-0003
AEZ8,HighIncome,qe,BAU_aES,-1.78364734165370E-0003
AEZ9,HighIncome,qe,BAU_aES,1.13504931505304E-0004
AEZ10,HighIncome,qe,BAU_aES,6.29125803243369E-0004
AEZ11,HighIncome,qe,BAU_aES,2.18032670090906E-0004
AEZ12,HighIncome,qe,BAU_aES,-1.62103257025592E-0004
AEZ1,MidIncome,qe,BAU_aES,-6.14628370385617E-0004
AEZ2,MidIncome,qe,BAU_aES,-0.010972363874
AEZ3,MidIncome,qe,BAU_aES,-0.021869106218
AEZ4,MidIncome,qe,BAU_aES,-0.031139558181
AEZ5,MidIncome,qe,BAU_aES,-0.037743441761
AEZ6,MidIncome,qe,BAU_aES,0.20846688747
AEZ7,MidIncome,qe,BAU_aES,-1.56984839122742E-0003
AEZ8,MidIncome,qe,BAU_aES,-0.010929974727
AEZ9,MidIncome,qe,BAU_aES,-0.01064496208
AEZ10,MidIncome,qe,BAU_aES,-7.23772216588259E-0003
AEZ11,MidIncome,qe,BAU_aES,-1.38520810287446E-0003
AEZ12,MidIncome,qe,BAU_aES,-4.74440492689610E-0003
AEZ13,MidIncome,qe,BAU_aES,-9.44025960052386E-0005
AEZ14,MidIncome,qe,BAU_aES,-7.80303671490401E-0004
AEZ15,MidIncome,qe,BAU_aES,-5.65988477319479E-0003
AEZ16,MidIncome,qe,BAU_aES,-2.85006876765692E-0006
AEZ17,MidIncome,qe,BAU_aES,-7.17008532546970E-0008
AEZ18,MidIncome,qe,BAU_aES,-1.95981351680530E-0006
AEZ1,LowIncome,qe,BAU_aES,-2.96040228568017E-0003
AEZ2,LowIncome,qe,BAU_aES,-2.18567857518792E-0003
AEZ3,LowIncome,qe,BAU_aES,-4.07220143824816E-0003
AEZ4,LowIncome,qe,BAU_aES,-2.94884492177516E-0004
AEZ5,LowIncome,qe,BAU_aES,-1.61461721290834E-0005
AEZ6,LowIncome,qe,BAU_aES,-4.40798030467704E-0004
AEZ7,LowIncome,qe,BAU_aES,-0.041334953159
AEZ8,LowIncome,qe,BAU_aES,-0.041336286813
