REGWLD,GDPS,SCEN,Value
INDIA,RealGDPvalch,BAU_aES,-5123.6801758
JAPAN,RealGDPvalch,BAU_aES,-1731.5935059
KOR,RealGDPvalch,BAU_aES,-1935.7358398
MAR,RealGDPvalch,BAU_aES,366.15087891
MDG,RealGDPvalch,BAU_aES,-196.34701538
MEAS_NAfr,RealGDPvalch,BAU_aES,3441.2519531
MEX,RealGDPvalch,BAU_aES,141.99414063
MYS,RealGDPvalch,BAU_aES,-1815.220459
NGA,RealGDPvalch,BAU_aES,-1192.3330078
Oceania,RealGDPvalch,BAU_aES,2421.7207031
Oth_CEE_CIS,RealGDPvalch,BAU_aES,-311.18341064
Oth_Europe,RealGDPvalch,BAU_aES,-1080.4888916
PAK,RealGDPvalch,BAU_aES,502.69345093
PHL,RealGDPvalch,BAU_aES,1294.7397461
POL,RealGDPvalch,BAU_aES,-651.5635376
R_S_Asia,RealGDPvalch,BAU_aES,-961.35961914
R_SE_Asia,RealGDPvalch,BAU_aES,-1592.7873535
Russia,RealGDPvalch,BAU_aES,2168.5407715
S_o_Amer,RealGDPvalch,BAU_aES,-1223.8806152
S_S_AFR,RealGDPvalch,BAU_aES,369.05734253
TUR,RealGDPvalch,BAU_aES,-821.44708252
USA,RealGDPvalch,BAU_aES,-1448.9798584
VNM,RealGDPvalch,BAU_aES,-299.36309814
XAC,RealGDPvalch,BAU_aES,6054.9101563
ZAF,RealGDPvalch,BAU_aES,-80.717895508
World,RealGDPvalch,BAU_aES,-74904.359375
ARG,NomGDPvalch,BAU_aES,-1176.6875
BGD,NomGDPvalch,BAU_aES,10078.15625
BRAZIL,NomGDPvalch,BAU_aES,-182.75
C_C_Amer,NomGDPvalch,BAU_aES,-4465.5625
CAN,NomGDPvalch,BAU_aES,15087.75
CHIHKG,NomGDPvalch,BAU_aES,-87860
COL,NomGDPvalch,BAU_aES,6300.3125
E_Asia,NomGDPvalch,BAU_aES,393.140625
EGY,NomGDPvalch,BAU_aES,-2342.4375
ETH,NomGDPvalch,BAU_aES,1633.234375
EU27,NomGDPvalch,BAU_aES,-34610
IDN,NomGDPvalch,BAU_aES,-4701.875
INDIA,NomGDPvalch,BAU_aES,-37136
JAPAN,NomGDPvalch,BAU_aES,-27085.5
KOR,NomGDPvalch,BAU_aES,-15757.5
MAR,NomGDPvalch,BAU_aES,-372.53125
MDG,NomGDPvalch,BAU_aES,94.599609375
MEAS_NAfr,NomGDPvalch,BAU_aES,74059.5
MEX,NomGDPvalch,BAU_aES,3196.5
MYS,NomGDPvalch,BAU_aES,514.03125
NGA,NomGDPvalch,BAU_aES,20915.75
Oceania,NomGDPvalch,BAU_aES,38858.5
Oth_CEE_CIS,NomGDPvalch,BAU_aES,6705.375
Oth_Europe,NomGDPvalch,BAU_aES,6966.875
PAK,NomGDPvalch,BAU_aES,-446.140625
PHL,NomGDPvalch,BAU_aES,330.5625
POL,NomGDPvalch,BAU_aES,-2945.25
R_S_Asia,NomGDPvalch,BAU_aES,-688.203125
R_SE_Asia,NomGDPvalch,BAU_aES,-7155.75
Russia,NomGDPvalch,BAU_aES,56268.5
S_o_Amer,NomGDPvalch,BAU_aES,9017.75
S_S_AFR,NomGDPvalch,BAU_aES,7118
TUR,NomGDPvalch,BAU_aES,-5811.375
USA,NomGDPvalch,BAU_aES,-14488
VNM,NomGDPvalch,BAU_aES,1592.46875
XAC,NomGDPvalch,BAU_aES,16271.8125
ZAF,NomGDPvalch,BAU_aES,269.8125
World,NomGDPvalch,BAU_aES,28447.068359
ARG,GDPpct,GlOBPES,0.030501291156
BGD,GDPpct,GlOBPES,-0.062234044075
BRAZIL,GDPpct,GlOBPES,0.011500510387
C_C_Amer,GDPpct,GlOBPES,0.026370311156
CAN,GDPpct,GlOBPES,-7.56219448521733E-0003
CHIHKG,GDPpct,GlOBPES,0.028817428276
COL,GDPpct,GlOBPES,0.012412415817
E_Asia,GDPpct,GlOBPES,-0.013510326855
EGY,GDPpct,GlOBPES,0.26704856753
ETH,GDPpct,GlOBPES,0.013274908997
EU27,GDPpct,GlOBPES,8.75071738846600E-0004
IDN,GDPpct,GlOBPES,-0.22038282454
INDIA,GDPpct,GlOBPES,0.055569577962
JAPAN,GDPpct,GlOBPES,5.00474823638797E-0003
KOR,GDPpct,GlOBPES,6.74649700522423E-0003
MAR,GDPpct,GlOBPES,0.070199742913
MDG,GDPpct,GlOBPES,0.070495851338
MEAS_NAfr,GDPpct,GlOBPES,0.066540673375
MEX,GDPpct,GlOBPES,1.22742459643632E-0003
MYS,GDPpct,GlOBPES,-0.086111389101
NGA,GDPpct,GlOBPES,-0.01563073881
Oceania,GDPpct,GlOBPES,4.73449379205704E-0003
Oth_CEE_CIS,GDPpct,GlOBPES,0.034636367112
Oth_Europe,GDPpct,GlOBPES,3.95014975219965E-0003
PAK,GDPpct,GlOBPES,-0.0178375002
PHL,GDPpct,GlOBPES,0.028851805255
POL,GDPpct,GlOBPES,0.08178897202
R_S_Asia,GDPpct,GlOBPES,0.020400378853
R_SE_Asia,GDPpct,GlOBPES,1.43638602457941E-0003
Russia,GDPpct,GlOBPES,0.015155510977
S_o_Amer,GDPpct,GlOBPES,0.031058536842
S_S_AFR,GDPpct,GlOBPES,-0.070013612509
TUR,GDPpct,GlOBPES,0.012337774038
USA,GDPpct,GlOBPES,7.98909738659859E-0003
VNM,GDPpct,GlOBPES,4.58859652280807E-0003
