ACOM,AREG,AREG,TRADERES,SCEN,Value
AgrFishFor,MidIncome,LowIncome,pfob,BAU_aES,0.48377734423
MinManuf,MidIncome,LowIncome,pfob,BAU_aES,0.95687025785
Services,MidIncome,LowIncome,pfob,BAU_aES,-0.26210904121
AgrFishFor,LowIncome,LowIncome,pfob,BAU_aES,-0.37401646376
MinManuf,LowIncome,LowIncome,pfob,BAU_aES,0.58690536022
Services,LowIncome,LowIncome,pfob,BAU_aES,-0.1368329823
AgrFishFor,HighIncome,HighIncome,qxs,GlOBPES,-0.45754662156
MinManuf,HighIncome,HighIncome,qxs,GlOBPES,-0.068437218666
Services,HighIncome,HighIncome,qxs,GlOBPES,0.04579494521
AgrFishFor,MidIncome,HighIncome,qxs,GlOBPES,0.46231627464
MinManuf,MidIncome,HighIncome,qxs,GlOBPES,-0.012624024414
Services,MidIncome,HighIncome,qxs,GlOBPES,-0.10012046248
AgrFishFor,LowIncome,HighIncome,qxs,GlOBPES,0.98449498415
MinManuf,LowIncome,HighIncome,qxs,GlOBPES,0.23544961214
Services,LowIncome,HighIncome,qxs,GlOBPES,0.192014575
AgrFishFor,HighIncome,MidIncome,qxs,GlOBPES,-1.9784027338
MinManuf,HighIncome,MidIncome,qxs,GlOBPES,-9.28150583058596E-0003
Services,HighIncome,MidIncome,qxs,GlOBPES,0.093832924962
AgrFishFor,MidIncome,MidIncome,qxs,GlOBPES,0.21413899958
MinManuf,MidIncome,MidIncome,qxs,GlOBPES,7.15843561920337E-0005
Services,MidIncome,MidIncome,qxs,GlOBPES,-0.047234393656
AgrFishFor,LowIncome,MidIncome,qxs,GlOBPES,0.24406914413
MinManuf,LowIncome,MidIncome,qxs,GlOBPES,0.15521368384
Services,LowIncome,MidIncome,qxs,GlOBPES,0.26045322418
AgrFishFor,HighIncome,LowIncome,qxs,GlOBPES,-1.7605241537
MinManuf,HighIncome,LowIncome,qxs,GlOBPES,-0.13842271268
Services,HighIncome,LowIncome,qxs,GlOBPES,-0.098484702408
AgrFishFor,MidIncome,LowIncome,qxs,GlOBPES,0.050047967583
MinManuf,MidIncome,LowIncome,qxs,GlOBPES,-0.089064531028
Services,MidIncome,LowIncome,qxs,GlOBPES,-0.25223019719
AgrFishFor,LowIncome,LowIncome,qxs,GlOBPES,5.54962735623121E-0003
MinManuf,LowIncome,LowIncome,qxs,GlOBPES,0.084251992404
Services,LowIncome,LowIncome,qxs,GlOBPES,0.050879530609
AgrFishFor,HighIncome,HighIncome,pfob,GlOBPES,0.13970509171
MinManuf,HighIncome,HighIncome,pfob,GlOBPES,0.054495684803
Services,HighIncome,HighIncome,pfob,GlOBPES,0.015528231859
AgrFishFor,MidIncome,HighIncome,pfob,GlOBPES,-0.21093605459
MinManuf,MidIncome,HighIncome,pfob,GlOBPES,0.043070014566
Services,MidIncome,HighIncome,pfob,GlOBPES,0.044411655515
AgrFishFor,LowIncome,HighIncome,pfob,GlOBPES,-0.3711360395
MinManuf,LowIncome,HighIncome,pfob,GlOBPES,1.49434257764369E-0004
Services,LowIncome,HighIncome,pfob,GlOBPES,-0.031167047098
AgrFishFor,HighIncome,MidIncome,pfob,GlOBPES,0.08646119386
MinManuf,HighIncome,MidIncome,pfob,GlOBPES,0.047656908631
Services,HighIncome,MidIncome,pfob,GlOBPES,0.010934123769
AgrFishFor,MidIncome,MidIncome,pfob,GlOBPES,-0.44408991933
MinManuf,MidIncome,MidIncome,pfob,GlOBPES,0.042502738535
Services,MidIncome,MidIncome,pfob,GlOBPES,0.04900900647
AgrFishFor,LowIncome,MidIncome,pfob,GlOBPES,-0.58560287952
MinManuf,LowIncome,MidIncome,pfob,GlOBPES,7.79866380617022E-0003
Services,LowIncome,MidIncome,pfob,GlOBPES,-0.03024267219
AgrFishFor,HighIncome,LowIncome,pfob,GlOBPES,0.13066573441
MinManuf,HighIncome,LowIncome,pfob,GlOBPES,0.03890844807
Services,HighIncome,LowIncome,pfob,GlOBPES,9.64398588985205E-0003
AgrFishFor,MidIncome,LowIncome,pfob,GlOBPES,-0.35360667109
MinManuf,MidIncome,LowIncome,pfob,GlOBPES,0.038370981812
Services,MidIncome,LowIncome,pfob,GlOBPES,0.048697195947
AgrFishFor,LowIncome,LowIncome,pfob,GlOBPES,-0.3212313354
MinManuf,LowIncome,LowIncome,pfob,GlOBPES,2.89487070403993E-0004
Services,LowIncome,LowIncome,pfob,GlOBPES,-0.02851638943
AgrFishFor,HighIncome,HighIncome,qxs,NATPES,-0.48113447428
MinManuf,HighIncome,HighIncome,qxs,NATPES,0.039025679231
Services,HighIncome,HighIncome,qxs,NATPES,0.018088577315
AgrFishFor,MidIncome,HighIncome,qxs,NATPES,0.44035565853
MinManuf,MidIncome,HighIncome,qxs,NATPES,-0.022205978632
Services,MidIncome,HighIncome,qxs,NATPES,-0.11461605132
AgrFishFor,LowIncome,HighIncome,qxs,NATPES,0.10977896303
MinManuf,LowIncome,HighIncome,qxs,NATPES,-0.031124807894
Services,LowIncome,HighIncome,qxs,NATPES,-0.036075744778
AgrFishFor,HighIncome,MidIncome,qxs,NATPES,-1.5187443495
MinManuf,HighIncome,MidIncome,qxs,NATPES,0.057140309364
Services,HighIncome,MidIncome,qxs,NATPES,0.15711055696
AgrFishFor,MidIncome,MidIncome,qxs,NATPES,0.20525407791
MinManuf,MidIncome,MidIncome,qxs,NATPES,0.032190702856
Services,MidIncome,MidIncome,qxs,NATPES,1.03355047758669E-0003
AgrFishFor,LowIncome,MidIncome,qxs,NATPES,-0.12952680886
MinManuf,LowIncome,MidIncome,qxs,NATPES,0.03240404278
Services,LowIncome,MidIncome,qxs,NATPES,0.091050803661
AgrFishFor,HighIncome,LowIncome,qxs,NATPES,-0.6931193471
MinManuf,HighIncome,LowIncome,qxs,NATPES,3.79863101989031E-0003
Services,HighIncome,LowIncome,qxs,NATPES,0.085164740682
AgrFishFor,MidIncome,LowIncome,qxs,NATPES,0.35508692265
MinManuf,MidIncome,LowIncome,qxs,NATPES,4.48171020252630E-0004
Services,MidIncome,LowIncome,qxs,NATPES,-0.077983848751
AgrFishFor,LowIncome,LowIncome,qxs,NATPES,-0.086492165923
MinManuf,LowIncome,LowIncome,qxs,NATPES,4.28371410816908E-0003
Services,LowIncome,LowIncome,qxs,NATPES,0.015717238188
AgrFishFor,HighIncome,HighIncome,pfob,NATPES,-0.18150061369
MinManuf,HighIncome,HighIncome,pfob,NATPES,0.047529093921
Services,HighIncome,HighIncome,pfob,NATPES,-0.015603289008
AgrFishFor,MidIncome,HighIncome,pfob,NATPES,-0.44700813293
MinManuf,MidIncome,HighIncome,pfob,NATPES,0.044917620718
Services,MidIncome,HighIncome,pfob,NATPES,0.030736740679
AgrFishFor,LowIncome,HighIncome,pfob,NATPES,-0.41041105986
MinManuf,LowIncome,HighIncome,pfob,NATPES,0.030638722703
Services,LowIncome,HighIncome,pfob,NATPES,9.28176473826170E-0003
AgrFishFor,HighIncome,MidIncome,pfob,NATPES,-0.32684209943
MinManuf,HighIncome,MidIncome,pfob,NATPES,0.04421634227
Services,HighIncome,MidIncome,pfob,NATPES,-8.37368518114090E-0003
AgrFishFor,MidIncome,MidIncome,pfob,NATPES,-0.62516498566
MinManuf,MidIncome,MidIncome,pfob,NATPES,0.058259252459
Services,MidIncome,MidIncome,pfob,NATPES,0.034157175571
AgrFishFor,LowIncome,MidIncome,pfob,NATPES,-0.7038654685
MinManuf,LowIncome,MidIncome,pfob,NATPES,0.039891503751
Services,LowIncome,MidIncome,pfob,NATPES,9.68154985457659E-0003
AgrFishFor,HighIncome,LowIncome,pfob,NATPES,-0.14795671403
MinManuf,HighIncome,LowIncome,pfob,NATPES,0.036577064544
Services,HighIncome,LowIncome,pfob,NATPES,-7.92570132762194E-0003
AgrFishFor,MidIncome,LowIncome,pfob,NATPES,-0.47376823425
MinManuf,MidIncome,LowIncome,pfob,NATPES,0.047398719937
Services,MidIncome,LowIncome,pfob,NATPES,0.034221492708
AgrFishFor,LowIncome,LowIncome,pfob,NATPES,-0.34310057759
MinManuf,LowIncome,LowIncome,pfob,NATPES,0.030918799341
Services,LowIncome,LowIncome,pfob,NATPES,0.010583944619
AgrFishFor,HighIncome,HighIncome,qxs,SRLand,-0.50773710012
MinManuf,HighIncome,HighIncome,qxs,SRLand,0.11144828051
Services,HighIncome,HighIncome,qxs,SRLand,0.012206269428
AgrFishFor,MidIncome,HighIncome,qxs,SRLand,0.4649926424
MinManuf,MidIncome,HighIncome,qxs,SRLand,-0.020788487047
Services,MidIncome,HighIncome,qxs,SRLand,-0.021818522364
AgrFishFor,LowIncome,HighIncome,qxs,SRLand,0.48798501492
MinManuf,LowIncome,HighIncome,qxs,SRLand,-0.019828060642
Services,LowIncome,HighIncome,qxs,SRLand,-0.073268972337
AgrFishFor,HighIncome,MidIncome,qxs,SRLand,-1.0543974638
MinManuf,HighIncome,MidIncome,qxs,SRLand,0.10392202437
Services,HighIncome,MidIncome,qxs,SRLand,0.12004876137
AgrFishFor,MidIncome,MidIncome,qxs,SRLand,0.048318069428
MinManuf,MidIncome,MidIncome,qxs,SRLand,0.038151312619
Services,MidIncome,MidIncome,qxs,SRLand,0.074464589357
AgrFishFor,LowIncome,MidIncome,qxs,SRLand,0.16781063378
MinManuf,LowIncome,MidIncome,qxs,SRLand,0.039330415428
Services,LowIncome,MidIncome,qxs,SRLand,0.028235349804
AgrFishFor,HighIncome,LowIncome,qxs,SRLand,-1.0171927214
MinManuf,HighIncome,LowIncome,qxs,SRLand,0.039354279637
Services,HighIncome,LowIncome,qxs,SRLand,0.082685336471
AgrFishFor,MidIncome,LowIncome,qxs,SRLand,0.39085552096
MinManuf,MidIncome,LowIncome,qxs,SRLand,0.012812020257
Services,MidIncome,LowIncome,qxs,SRLand,0.041403088719
AgrFishFor,LowIncome,LowIncome,qxs,SRLand,-0.10612438619
MinManuf,LowIncome,LowIncome,qxs,SRLand,0.019208472222
Services,LowIncome,LowIncome,qxs,SRLand,-5.96085935831070E-0003
AgrFishFor,HighIncome,HighIncome,pfob,SRLand,0.40096491575
MinManuf,HighIncome,HighIncome,pfob,SRLand,0.11580334604
Services,HighIncome,HighIncome,pfob,SRLand,0.066524103284
AgrFishFor,MidIncome,HighIncome,pfob,SRLand,0.097082778811
MinManuf,MidIncome,HighIncome,pfob,SRLand,0.12395320833
Services,MidIncome,HighIncome,pfob,SRLand,0.0873580724
AgrFishFor,LowIncome,HighIncome,pfob,SRLand,-0.032712299377
MinManuf,LowIncome,HighIncome,pfob,SRLand,0.1096322611
Services,LowIncome,HighIncome,pfob,SRLand,0.099544614553
AgrFishFor,HighIncome,MidIncome,pfob,SRLand,0.078523933887
MinManuf,HighIncome,MidIncome,pfob,SRLand,0.1160023436
Services,HighIncome,MidIncome,pfob,SRLand,0.076878301799
AgrFishFor,MidIncome,MidIncome,pfob,SRLand,-0.14084285498
MinManuf,MidIncome,MidIncome,pfob,SRLand,0.13581956923
Services,MidIncome,MidIncome,pfob,SRLand,0.090193480253
AgrFishFor,LowIncome,MidIncome,pfob,SRLand,-0.34084635973
MinManuf,LowIncome,MidIncome,pfob,SRLand,0.11951950192
Services,LowIncome,MidIncome,pfob,SRLand,0.10118934512
AgrFishFor,HighIncome,LowIncome,pfob,SRLand,0.50983631611
MinManuf,HighIncome,LowIncome,pfob,SRLand,0.11382293701
