ENDW,AACT,AREGWLD,FACRES,SCEN,Value
AEZ17,AgrFishFor,HighIncome,qfe,BAU,0.11520399898
AEZ18,AgrFishFor,HighIncome,qfe,BAU,0.11520399153
UnSkLab,AgrFishFor,HighIncome,qfe,BAU,10.328909874
SkLab,AgrFishFor,HighIncome,qfe,BAU,8.1828651428
Capital,AgrFishFor,HighIncome,qfe,BAU,20.584661484
NatRes,AgrFishFor,HighIncome,qfe,BAU,1.6473189592
AEZ1,MinManuf,HighIncome,qfe,BAU,1.4989937544
AEZ2,MinManuf,HighIncome,qfe,BAU,0.038043882698
AEZ3,MinManuf,HighIncome,qfe,BAU,0.63936007023
AEZ4,MinManuf,HighIncome,qfe,BAU,1.2949299812
AEZ5,MinManuf,HighIncome,qfe,BAU,0.72787326574
AEZ6,MinManuf,HighIncome,qfe,BAU,0.20807868242
AEZ7,MinManuf,HighIncome,qfe,BAU,0.6309927702
AEZ8,MinManuf,HighIncome,qfe,BAU,0.57659125328
AEZ9,MinManuf,HighIncome,qfe,BAU,-1.152166605
AEZ10,MinManuf,HighIncome,qfe,BAU,0.1639111042
AEZ11,MinManuf,HighIncome,qfe,BAU,0.1076868996
AEZ12,MinManuf,HighIncome,qfe,BAU,0.1466512084
AEZ13,MinManuf,HighIncome,qfe,BAU,0.75091671944
AEZ14,MinManuf,HighIncome,qfe,BAU,0.75140398741
AEZ15,MinManuf,HighIncome,qfe,BAU,0.92847663164
AEZ16,MinManuf,HighIncome,qfe,BAU,0.6691967845
AEZ17,MinManuf,HighIncome,qfe,BAU,0.92847669125
AEZ18,MinManuf,HighIncome,qfe,BAU,0.92847669125
UnSkLab,MinManuf,HighIncome,qfe,BAU,9.5743703842
SkLab,MinManuf,HighIncome,qfe,BAU,12.16132164
Capital,MinManuf,HighIncome,qfe,BAU,27.446058273
NatRes,MinManuf,HighIncome,qfe,BAU,-0.49636864662
AEZ1,Services,HighIncome,qfe,BAU,-3.1702182293
AEZ2,Services,HighIncome,qfe,BAU,-4.9511713982
AEZ3,Services,HighIncome,qfe,BAU,-4.2190213203
AEZ4,Services,HighIncome,qfe,BAU,-3.4194149971
AEZ5,Services,HighIncome,qfe,BAU,-4.1111474037
AEZ6,Services,HighIncome,qfe,BAU,-4.7442669868
AEZ7,Services,HighIncome,qfe,BAU,-4.2292189598
AEZ8,Services,HighIncome,qfe,BAU,-4.2955069542
AEZ9,Services,HighIncome,qfe,BAU,-6.3967089653
AEZ10,Services,HighIncome,qfe,BAU,-4.7980213165
AEZ11,Services,HighIncome,qfe,BAU,-4.866440773
AEZ12,Services,HighIncome,qfe,BAU,-4.8190264702
AEZ13,Services,HighIncome,qfe,BAU,-4.0830583572
AEZ14,Services,HighIncome,qfe,BAU,-4.082464695
AEZ15,Services,HighIncome,qfe,BAU,-3.8665618896
AEZ16,Services,HighIncome,qfe,BAU,-4.1826629639
AEZ17,Services,HighIncome,qfe,BAU,-3.8665618896
AEZ18,Services,HighIncome,qfe,BAU,-3.8665618896
UnSkLab,Services,HighIncome,qfe,BAU,14.249131203
SkLab,Services,HighIncome,qfe,BAU,17.466142654
Capital,Services,HighIncome,qfe,BAU,41.150985718
NatRes,Services,HighIncome,qfe,BAU,-35.0154953
AEZ1,AgrFishFor,MidIncome,qfe,BAU,-0.32013234496
AEZ2,AgrFishFor,MidIncome,qfe,BAU,2.3600213528
AEZ3,AgrFishFor,MidIncome,qfe,BAU,1.4834022522
AEZ4,AgrFishFor,MidIncome,qfe,BAU,2.631146431
AEZ5,AgrFishFor,MidIncome,qfe,BAU,2.2468132973
AEZ6,AgrFishFor,MidIncome,qfe,BAU,4.5516424179
AEZ7,AgrFishFor,MidIncome,qfe,BAU,0.159648031
AEZ8,AgrFishFor,MidIncome,qfe,BAU,0.4058611691
AEZ9,AgrFishFor,MidIncome,qfe,BAU,0.29134404659
AEZ10,AgrFishFor,MidIncome,qfe,BAU,0.1757927835
AEZ11,AgrFishFor,MidIncome,qfe,BAU,0.13149258494
AEZ12,AgrFishFor,MidIncome,qfe,BAU,0.077181048691
AEZ13,AgrFishFor,MidIncome,qfe,BAU,0.051035936922
AEZ14,AgrFishFor,MidIncome,qfe,BAU,0.065945565701
AEZ15,AgrFishFor,MidIncome,qfe,BAU,0.12359043211
AEZ16,AgrFishFor,MidIncome,qfe,BAU,-5.40787493810058E-0003
AEZ17,AgrFishFor,MidIncome,qfe,BAU,0.059605475515
AEZ18,AgrFishFor,MidIncome,qfe,BAU,-0.21353444457
UnSkLab,AgrFishFor,MidIncome,qfe,BAU,-0.56696873903
SkLab,AgrFishFor,MidIncome,qfe,BAU,5.3963031769
Capital,AgrFishFor,MidIncome,qfe,BAU,18.851402283
NatRes,AgrFishFor,MidIncome,qfe,BAU,1.0243923664
AEZ1,MinManuf,MidIncome,qfe,BAU,-1.4986873865
AEZ2,MinManuf,MidIncome,qfe,BAU,-1.4364448786
AEZ3,MinManuf,MidIncome,qfe,BAU,-1.5809862614
AEZ4,MinManuf,MidIncome,qfe,BAU,-1.6581139565
AEZ5,MinManuf,MidIncome,qfe,BAU,-1.7700816393
AEZ6,MinManuf,MidIncome,qfe,BAU,-1.3151788712
AEZ7,MinManuf,MidIncome,qfe,BAU,-1.9341717958
AEZ8,MinManuf,MidIncome,qfe,BAU,-1.5317540169
